2014-2015 Award Year Campus-Based Program Data by School,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,, FEDERAL WORK-STUDY ,,, PERKINS LOAN ,,, FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS ,,
OPE ID,School,State,Zip Code,School Type,Recipients, $ Federal Award ,  Disbursements ,Recipients, $ Federal Award , Disbursements , Recipients , $ Federal Award , Disbursements 
00100200, Alabama Agricultural & Mechanical University, AL,357621357, Public,111," $293,797.00 "," $259,580.00 ",99, $-   ," $426,836.00 ",165," $223,508.00 "," $260,167.00 "
00100300, Faulkner University, AL,361093398, Private/Non-Profit,241," $325,000.00 "," $309,461.00 ",22, $-   ," $52,804.00 ",256," $213,526.00 "," $212,130.00 "
00100400, University of Montevallo, AL,351156000, Public,102," $185,534.00 "," $141,904.00 ",21, $-   ," $77,193.00 ",153," $87,751.00 "," $165,749.00 "
00100500, Alabama State University, AL,361045714, Public,746," $1,505,028.00 "," $1,093,815.00 ",82, $-   ," $229,489.00 ",339," $321,915.00 "," $321,915.00 "
00100700, Central Alabama Community College, AL,350100000, Public,17," $49,196.00 "," $42,031.00 ",0, $-   , $-   ,155," $69,287.00 "," $73,487.00 "
00100800, Athens State University, AL,356111999, Public,23," $89,864.00 "," $71,906.00 ",0, $-   , $-   ,112," $81,562.00 "," $89,250.00 "
00100900, Auburn University, AL,368495113, Public,227," $1,000,000.00 "," $666,686.00 ",1128, $-   ," $2,414,235.00 ",699," $382,753.00 "," $643,670.00 "
00101200, Birmingham-Southern College, AL,352540002, Private/Non-Profit,213," $167,771.00 "," $218,124.00 ",183, $-   ," $355,911.00 ",115," $108,094.00 "," $144,968.00 "
00101300, Calhoun Community College, AL,356710000, Public,73," $229,189.00 "," $217,035.00 ",0, $-   , $-   ,444," $227,033.00 "," $226,161.00 "
00101500, Enterprise State Community College, AL,363311300, Public,69," $103,742.00 "," $111,758.00 ",0, $-   , $-   ,73," $60,000.00 "," $44,102.00 "
00101600, University of North Alabama, AL,356320001, Public,182," $251,403.00 "," $314,664.00 ",0, $-   , $-   ,472," $155,146.00 "," $192,693.00 "
00101700, Gadsden State Community College, AL,359032269, Public,74," $176,008.00 "," $155,838.00 ",0, $-   , $-   ,370," $184,740.00 "," $194,366.00 "
00101800, George C. Wallace Community College, AL,363030943, Public,56," $121,461.00 "," $121,965.00 ",0, $-   , $-   ,252," $126,607.00 "," $121,884.00 "
00101900, Huntingdon College, AL,361062148, Private/Non-Profit,148," $100,375.00 "," $91,104.00 ",90, $-   ," $195,292.00 ",108," $92,714.00 "," $101,985.00 "
00102000, Jacksonville State University, AL,362651602, Public,180," $421,149.00 "," $422,524.00 ",0, $-   , $-   ,522," $231,517.00 "," $218,716.00 "
